print;role_id;character_name;contact_address;contact_name;display_type;price;text
0;0;;Tapleyville, Essex, MA;mr. John Booze;soberworkers;В качестве компенсации ваших трат высылаю вам <b>50$</b>;Доброго дня, сэр!<br>Собираюсь в ближайшее время проводить ответственные земельные работы. Прошу посодействовать мне, направив в Салем <b>бригаду добросовестных и непьющих работников</b>.
0;0;;Proctor, Essex, MA;mr. Jack Corbey;soberworkers;В качестве компенсации ваших трат высылаю вам <b>50$</b>;Доброго дня, сэр!<br>Собираюсь в ближайшее время проводить ответственные земельные работы. Прошу посодействовать мне, направив в Салем <b>бригаду добросовестных и непьющих работников</b>.
0;0;;Beverly, Essex, MA;mr. John Winter;soberworkers;В качестве компенсации ваших трат высылаю вам <b>50$</b>;Доброго дня, сэр!<br>Собираюсь в ближайшее время проводить ответственные земельные работы. Прошу посодействовать мне, направив в Салем <b>бригаду добросовестных и непьющих работников</b>.
0;0;;Boston University, Boston, MA;prof. Henry Dickson;soberworkers;В качестве компенсации ваших трат высылаю вам <b>50$</b>;Дорогой коллега! <br> Я собираюсь в ближайшее время проводить археологические раскопки, имеющие большое научное значение. Прошу посодействовать мне, направив в Салем <b>бригаду добросовестных и непьющих работников</b>
0;0;;{quot}Reed Manufacturing Company{quot}, Erie, PA;Jeffrey Kitchens;reliabletools;В качестве компенсации ваших трат высылаю вам <b>50$</b>;Доброго здравия.<br> На днях мне потребуется арендовать набор качественных и надежных инструментов для проведения археологических работ. Помню, что ваша компания производит <b>высококачественные инструменты и надежную технику</b>, и наше сотрудничество может быть взаимовыгодным
0;0;;{quot}Reed Manufacturing Company{quot}, Erie, PA;Steven Lockhead;reliabletools;В качестве компенсации ваших трат высылаю вам <b>50$</b>;Доброго здравия.<br> На днях мне потребуется арендовать набор качественных и надежных инструментов для проведения археологических работ. Помню, что ваша компания производит <b>высококачественные инструменты и надежную технику</b>, и наше сотрудничество может быть взаимовыгодным
0;0;;{quot}Reed Manufacturing Company{quot}, Erie, PA;Eve Ryan;reliabletools;В качестве компенсации ваших трат высылаю вам <b>50$</b>;Доброго здравия.<br> На днях мне потребуется арендовать набор качественных и надежных инструментов для проведения археологических работ. Помню, что ваша компания производит <b>высококачественные инструменты и надежную технику</b>, и наше сотрудничество может быть взаимовыгодным
0;0;;{quot}Reed Manufacturing Company{quot}, Erie, PA;Megan Fox;reliabletools;В качестве компенсации ваших трат высылаю вам <b>50$</b>;Доброго здравия.<br> На днях мне потребуется арендовать набор качественных и надежных инструментов для проведения археологических работ. Помню, что ваша компания производит <b>высококачественные инструменты и надежную технику</b>, и наше сотрудничество может быть взаимовыгодным
0;0;;{quot}Coleman Inc{quot}, West Bouleward, Denver, CO;Sandie Williams;rescueequipment;В качестве компенсации ваших трат высылаю вам <b>50$</b>;Дорогой друг! <br> В ближайшие дни у меня намечаются научно-исследовательские работы. Для меня будет большим подспорьем, если вы вышлете мне <b>комплект спасательного снаряжения</b> на случай форс-мажорных обстоятельств
0;0;;{quot}Coleman Inc{quot}, West Bouleward, Denver, CO;Brandon Harris;rescueequipment;В качестве компенсации ваших трат высылаю вам <b>50$</b>;Дорогой друг! <br> В ближайшие дни у меня намечаются научно-исследовательские работы. Для меня будет большим подспорьем, если вы вышлете мне <b>комплект спасательного снаряжения</b> на случай форс-мажорных обстоятельств
