print;role_id;character_name;print_character_name;contact_address;contact_name;good_type;max_crates;text;reply;full;partial;fail
0;12;Edward Quamis;1;mt. Pleasant-Drive, Brooksby farm;Achemin Yellowstone;cigars;3;Приветствую тебя, брат!<br>У тебя есть табак? Пришли мне пару-тройку ящиков. Оплачу как всегда.;Приветствую тебя от всего сердца, брат!<br>Табак отправил. ;Встретил твоего друга, что ты просил, передал {created:ящик:ящика:ящиков}. Если потребуется еще табак, напиши. ;Но у твоего друга поместилось только {passed:ящика:ящиков:ящиков}, а я отправил {created}. Оставшееся отдал нашему вождю от твоего имени, он передавал свою благодарность;Только твой {quot}друг{quot} вообще не появился! Табак был хорош, мы всем племенем его попробовали на вечернем празднике во славу Великого Духа. И мне привиделось, что лучше бы ты в следующий раз отправил другого друга ко мне. 
0;16;Matthew Patricks;1;Forster-road, Manchester-by-the-Sea;Samuel Chester;cigars;2;Хай, дружище Сэм!<br> Помнишь сигары, которые мы курили в гостях у твоего предка? Подгони-ка мне малость таких!;Хай, Мэтт, как жизнь?<br>Деньги твои получил, сигарки просто улетные, попробуй! Все отправил.;Связался с тем чуваком, что ты просил, отдал {created:ящик:ящика:ящиков}. Надо будет еще - обращайся;Только чувак,тот парень забрал только {passed:ящика:ящиков:ящиков}, а я подогнал {created}. Ну, что поделать, остаток мы с Тэрри и Мэгги скурили, помнишь их?;Только этот твой {quot}кореш{quot} тебя, похоже, прокинул. Не пришел к месту встречи, как договаривались. В общем, пришлось зарулить к девчонкам, устроить вечеринку в твою честь. Ты же знаешь, я всегда за то, чтоб повеселиться, но в следующий раз отправь понадежнее кого-нибудь!
0;19;Alice Darkwood;1;Cherry street, Wenham;Michael Wenson;cigars;2;Привет, Майк!<br>Организуй-ка мне ящик-другой твоих классных сигарок!;Здорово, Алиса, здорово, подргуа, рад, что не забываешь!<br>Деньги твои получил, табачок подогнал, не вопрос.;Связался с тем парнем, что ты просила, отдал {created:ящик:ящика:ящиков}. Потребуется курево еще - пиши, всегда рад буду.;Только у этого парня нашлось в кузове место только для {passed:ящика:ящиков:ящиков}, а я подогнал {created}. Ну, что поделать, тут уж не мои проблемы - остаток заберу себе за труды;Только этот твой {quot}надежный человек{quot} вообще ко мне не явился за моими прекрасными сигарами! В общем, чтобы товар не пропадал, мы его весь с друзьями скурили. Ты уж в следующий раз как-нибудь подбирай надежных людей получше!
0;23;Anna-Maria Reber;1;Mill street, Beverly;Steven Madison;cigars;1;Дорогой Стив, здравствуй.<br>Пришли мне табачку, будь ласков! Я в долгу не останусь, ты же знаешь.;Дорогая подруга, для тебя все что угодно! Рад, что не забываешь старого друга!<br>Деньги твои получил, табачок отправил, не вопрос.;Связался с тем парнем, что ты просила, отдал {created:ящик:ящика:ящиков}. Надеюсь, доедет все в целости и сохранности.;Только у парня этого нашлось в кузове место только для {passed:ящика:ящиков:ящиков}, а я подготовил {created}. Что у людей в головах, непонятно. Ну, что поделать, остаток заберу себе за труды, надеюсь ты не в обиде на старика;Только этот твой {quot}надежный человек{quot} вообще ко мне не явился! Подумал я, что делать, да с горя и выкурил все с ребятами. Дерек все вспоминал как с твоим мужем в карты играл, славные деньки были. Ты уж в следующий раз как-нибудь подбирай надежных людей получше!
0;99;Jonathan Riddle;1;Eastern avenue, Lynnfield;Vincent Banks;cigars;2;Здорово, кузен!<br>Привет твоему идиоту-соседу, и подгони-ка мне, пожалуйста, ящик-другой табачку!;Привет, старина! <br>Сосед пока так ничего и не прочухал, табак могу поставлять стабильно.;Связался с тем парнем, что ты просил, отдал {created:ящик:ящика:ящиков}. Потребуется табак еще - пиши, пока лавочку не прикрыли.;Только у этого парня нашлось в кузове место только для {passed:ящика:ящиков:ящиков}, а я подогнал {created}. Ну, что поделать, тут уж не мои проблемы - остаток выкурю с папой и друзьями.;Только этот твой {quot}надежный человек{quot} вообще ко мне не явился! Подумал я, что делать, да с горя и выкурил все с ребятами.  Ты уж в следующий раз как-нибудь подбирай надежных людей получше!
0;29;Nathan Levy;1;Fenley street, Revere;Abraham Weisman;whiskey;1;Шалом, Абрам!<br> А не организуешь ли ты ящичек чая для приятеля?;Шалом и тебе, Натан! <br> От небольшого гешефта я никогда не отказываюсь, ты же знаешь!;Все сделано в лучшем виде - чай в лучшем виде упакован и передан курьеру. Потребуется еще - пиши, всегда рад буду!;;Только неужели ты думаешь, что я лично потащу свой чай в этот ваш Салем? Тот поц, которому я писал, так и не приехал ко мне. Извини, приятель, так дела не делаются!
0;30;Peter Reber;1;Eastern avenue, Lynnfield;Oliver Highword;whiskey;1;Доброго дня, мистер Хайворд!<br>Как жизнь, как здоровье супруги? Пришли мне еще немного того чая, который миссис Хайворд подает тебе вечером к ужину;Привет,  <br>Миссис Хайворд шлет тебе свои лучшие пожелания и спрашивает, когда ты нас навестишь. Чай подогнал, не вопрос.;Связался с тем парнем, что ты просил, отдал {created:ящик:ящика:ящиков}. Потребуется еще - пиши!;;Только этот твой {quot}надежный человек{quot} вообще ко мне не приехал, и чай мы выпили сами. Ты уж в следующий раз как-нибудь подбирай надежных людей получше, а то печень-то не казенная!
0;34;Anthony Weaver;1;Felton street, Brooksby farm;Robert Stonebridge;whiskey;1;Здорово, кузен!<br>Как обычно, готов подкинуть тебе деньжат, если дядя приготовит мне немного вашего прекрасного чайку!;Привет, старина! <br>Какой разговор, наш батя всегда рад кого-нибудь угостить, особенно за деньги!;Связался с тем парнем, что ты просил, отдал {created:ящик:ящика:ящиков}. Потребуется чай еще - пиши, всегда рад буду.;Только у этого парня нашлось в кузове место только для {passed:ящика:ящиков:ящиков}, а я подогнал {created}. Ну, что поделать, тут уж не мои проблемы - остаток выпью с папой и друзьями.;Только этот твой {quot}надежный человек{quot} вообще ко мне не явился, и мы с корешами весь твой виски выпили сами. Ты уж в следующий раз как-нибудь подбирай надежных людей получше, а то печень-то не казенная!
0;40;Hector Parris;1;Summer street, Lynnfield;Miles Summerby;whiskey;2;Храни вас Господь, отец Майлз!<br> Отправьте с оказией для нужд прихода того благословенного чая из наших погребов;Храни тебя Бог, пастор. <br> Никаких проблем с чаем, распорядись им во славу Господа!;Договорились с твоим посыльным, отдали ему {created:ящик:ящика:ящиков}. ; Вот только посыльный твой не рассчитал, смог забрать только {passed:ящика:ящиков:ящиков}, а мы с братьями отправили {created}. Все в руках Господа нашего, тут уж ничего не сделать, остаток с братьями выпили после вечерней молитвы;Только посыльный твой не совсем надежным оказался, на встречу не приехал. Чай, увы, пришлось употребить нам с братьями. Вознесем молитвы за то, чтобы Господь наш искоренил ложь в нашем мире и послал тебе воистину надежного человека в помощь.
0;42;Innice Birne;1;Stanley-road, Lynnfield;Wilbert Parsons;whiskey;2;Привет, дружище!<br>Как ты там, коптишь небо помаленьку? Пришли-ка мне того крепкого чайку, ну, ты понимаешь о чем я.;Привет, старый хрыч! <br>Скрипим помаленьку, чего и вам желаем. Чай хороший сейчас;Связался с тем парнем, что ты просил, отдал {created:ящик:ящика:ящиков}. Потребуется виски еще - пиши, всегда рад буду.;Только у этого парня нашлось в кузове место только для {passed:ящика:ящиков:ящиков}, а я подогнал {created}. Ну, что поделать, тут уж не мои проблемы - остаток выпью с друзьями;Только этот твой {quot}надежный человек{quot} вообще ко мне не явился, и мы с корешами весь твой виски выпили сами. Ты уж в следующий раз как-нибудь подбирай надежных людей получше, а то печень-то не казенная!
